date,symbol,asset_type,market_value,current_weight,target_weight,weight_gap,total_value,cash
2024-11-01,515180,etf,260589.99999999997,0.3065214967475372,0.2,-0.10652149674753719,850152.44531,164480.44530999995
2024-11-01,518880,etf,228727.80000000002,0.2690432771931822,0.1,-0.1690432771931822,850152.44531,164480.44530999995
2024-11-01,000333,stock,0.0,0.0,0.04,0.04,850152.44531,164480.44530999995
2024-11-01,000858,stock,0.0,0.0,0.04,0.04,850152.44531,164480.44530999995
2024-11-01,600036,stock,0.0,0.0,0.04,0.04,850152.44531,164480.44530999995
2024-11-01,600519,stock,0.0,0.0,0.04,0.04,850152.44531,164480.44530999995
2024-11-01,601318,stock,0.0,0.0,0.04,0.04,850152.44531,164480.44530999995
2024-12-02,510300,etf,87478.0,0.10174473189263653,0.3,0.19825526810736346,859779.1588099999,166865.55880999996
2024-12-02,510500,etf,111777.0,0.13000664048976007,0.2,0.06999335951023994,859779.1588099999,166865.55880999996
2024-12-02,515180,etf,269348.2,0.3132760281986813,0.2,-0.11327602819868127,859779.1588099999,166865.55880999996
2024-12-02,518880,etf,224310.4,0.26089304177884787,0.1,-0.16089304177884786,859779.1588099999,166865.55880999996
2024-12-02,000333,stock,0.0,0.0,0.04,0.04,859779.1588099999,166865.55880999996
2024-12-02,000858,stock,0.0,0.0,0.04,0.04,859779.1588099999,166865.55880999996
2024-12-02,600036,stock,0.0,0.0,0.04,0.04,859779.1588099999,166865.55880999996
2024-12-02,600519,stock,0.0,0.0,0.04,0.04,859779.1588099999,166865.55880999996
2024-12-02,601318,stock,0.0,0.0,0.04,0.04,859779.1588099999,166865.55880999996
2025-01-02,510300,etf,84684.2,0.09789105691481849,0.3,0.2021089430851815,865086.17507,169175.77506999995
2025-01-02,510500,etf,104196.0,0.12044580413225167,0.2,0.07955419586774834,865086.17507,169175.77506999995
2025-01-02,515180,etf,276318.0,0.319410953455176,0.2,-0.119410953455176,865086.17507,169175.77506999995
2025-01-02,518880,etf,230712.2,0.26669273726554643,0.1,-0.16669273726554643,865086.17507,169175.77506999995
2025-01-02,000333,stock,0.0,0.0,0.04,0.04,865086.17507,169175.77506999995
2025-01-02,000858,stock,0.0,0.0,0.04,0.04,865086.17507,169175.77506999995
2025-01-02,600036,stock,0.0,0.0,0.04,0.04,865086.17507,169175.77506999995
2025-01-02,600519,stock,0.0,0.0,0.04,0.04,865086.17507,169175.77506999995
2025-01-02,601318,stock,0.0,0.0,0.04,0.04,865086.17507,169175.77506999995
2025-02-05,510300,etf,84180.40000000001,0.09507142166222418,0.3,0.2049285783377758,885443.7908699999,171331.59086999993
2025-02-05,510500,etf,105374.0,0.11900698958706789,0.2,0.08099301041293212,885443.7908699999,171331.59086999993
2025-02-05,515180,etf,273436.8,0.30881327851577395,0.2,-0.10881327851577394,885443.7908699999,171331.59086999993
2025-02-05,518880,etf,251121.0,0.28361032353421217,0.1,-0.18361032353421217,885443.7908699999,171331.59086999993
